20 :2021-08-18 01:15:35,110 : INFO : logger : File opened successfully
20 :2021-08-18 01:15:35,136 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:15:35,166 : INFO : logger : False lock successfully
20 :2021-08-18 01:15:35,174 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:15:42,041 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:15:42,045 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:15:42,046 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:16:54,979 : INFO : logger : File opened successfully
20 :2021-08-18 01:16:55,004 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:16:55,035 : INFO : logger : False lock successfully
20 :2021-08-18 01:16:55,043 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:17:02,031 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:17:02,035 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:17:02,037 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:18:52,073 : INFO : logger : File opened successfully
20 :2021-08-18 01:18:52,099 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:18:52,124 : INFO : logger : False lock successfully
20 :2021-08-18 01:18:52,133 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:19:06,152 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:19:06,153 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:19:06,154 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:33:30,598 : INFO : logger : File opened successfully
20 :2021-08-18 01:33:30,626 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:33:30,659 : INFO : logger : False lock successfully
20 :2021-08-18 01:33:30,669 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:33:46,122 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:33:46,128 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:33:46,130 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:38:06,656 : INFO : logger : File opened successfully
20 :2021-08-18 01:38:06,683 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:38:06,710 : INFO : logger : False lock successfully
20 :2021-08-18 01:38:06,718 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:38:19,952 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:38:19,953 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:38:19,954 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:42:39,114 : INFO : logger : File opened successfully
20 :2021-08-18 01:42:39,140 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:42:39,173 : INFO : logger : False lock successfully
20 :2021-08-18 01:42:39,183 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:42:54,859 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:42:54,862 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:42:54,863 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:45:28,465 : INFO : logger : File opened successfully
20 :2021-08-18 01:45:28,492 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:45:28,518 : INFO : logger : False lock successfully
20 :2021-08-18 01:45:28,526 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 01:45:42,208 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:45:42,209 : INFO : logger : frame's name get successfully
20 :2021-08-18 01:45:42,210 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:05:34,613 : INFO : logger : File opened successfully
20 :2021-08-18 02:05:34,639 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 02:05:34,669 : INFO : logger : False lock successfully
20 :2021-08-18 02:05:34,678 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 02:05:49,782 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:05:49,783 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:05:49,784 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:05:50,194 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:05:50,196 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:05:50,196 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:07:11,125 : INFO : logger : File opened successfully
20 :2021-08-18 02:07:11,152 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 02:07:11,176 : INFO : logger : False lock successfully
20 :2021-08-18 02:07:11,185 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 02:07:24,789 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:07:24,790 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:07:24,791 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:07:25,198 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:07:25,199 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:07:25,200 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:11:39,767 : INFO : logger : File opened successfully
20 :2021-08-18 02:11:39,793 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 02:11:39,916 : INFO : logger : False lock successfully
20 :2021-08-18 02:11:39,924 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 02:11:54,670 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:11:54,670 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:11:54,671 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:11:54,883 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:11:54,884 : INFO : logger : frame's name get successfully
20 :2021-08-18 02:11:54,884 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:39:20,187 : INFO : logger : File opened successfully
20 :2021-08-18 03:39:20,214 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 03:39:20,248 : INFO : logger : False lock successfully
20 :2021-08-18 03:39:20,263 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 03:39:35,460 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:39:35,460 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:39:35,461 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:41:12,147 : INFO : logger : File opened successfully
20 :2021-08-18 03:41:12,172 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 03:41:12,208 : INFO : logger : False lock successfully
20 :2021-08-18 03:41:12,221 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 03:41:27,497 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:41:27,498 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:41:27,499 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:41,499 : INFO : logger : File opened successfully
20 :2021-08-18 03:42:41,526 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 03:42:41,559 : INFO : logger : False lock successfully
20 :2021-08-18 03:42:41,572 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 03:42:56,669 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,670 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,670 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,878 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,878 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,917 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,917 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,917 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,967 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:56,983 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:57,018 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:57,055 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:42:57,055 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:43:53,480 : INFO : logger : File opened successfully
20 :2021-08-18 03:43:53,507 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 03:43:53,540 : INFO : logger : False lock successfully
20 :2021-08-18 03:43:53,554 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 03:44:08,698 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:44:08,698 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:44:08,698 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:44:08,905 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:44:08,906 : INFO : logger : frame's name get successfully
20 :2021-08-18 03:44:08,906 : INFO : logger : frame's name get successfully
20 :2021-08-18 06:20:28,856 : INFO : logger : File opened successfully
20 :2021-08-18 06:20:28,894 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 06:20:28,925 : INFO : logger : False lock successfully
20 :2021-08-18 06:20:28,941 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:00:41,184 : INFO : logger : File opened successfully
20 :2021-08-18 11:00:41,220 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:00:41,259 : INFO : logger : False lock successfully
20 :2021-08-18 11:00:41,272 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:03:23,531 : INFO : logger : File opened successfully
20 :2021-08-18 11:03:23,557 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:03:23,572 : INFO : logger : False lock successfully
20 :2021-08-18 11:03:23,580 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:08:30,500 : INFO : logger : File opened successfully
20 :2021-08-18 11:08:30,527 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:08:30,543 : INFO : logger : False lock successfully
20 :2021-08-18 11:08:30,551 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:12:10,876 : INFO : logger : File opened successfully
20 :2021-08-18 11:12:10,903 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:12:10,921 : INFO : logger : False lock successfully
20 :2021-08-18 11:12:10,929 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:14:11,827 : INFO : logger : File opened successfully
20 :2021-08-18 11:14:11,852 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:14:11,868 : INFO : logger : False lock successfully
20 :2021-08-18 11:14:11,878 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:21:11,907 : INFO : logger : File opened successfully
20 :2021-08-18 11:21:11,934 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 11:21:11,947 : INFO : logger : False lock successfully
20 :2021-08-18 11:21:11,955 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:05:57,224 : INFO : logger : File opened successfully
20 :2021-08-18 12:05:57,259 : INFO : logger : units set to kgf_centimeter
